Property,Property Score,Unit Type,Location,Date Posted,Monthly Rent
Kingsley Park Apartments,4.6,2 Bed / 1.5 Bath,"Richmond, VA",11d,"$1,275 - $1,775 (Landlord est.)"
The Ashford,3.7,2BR/2BA,"Dayton, OH",12d,"$925 - $1,225 (RentPulse est.)"
"Lakeview Commons, Phase II",4.8,"Three Bed, Two Bath","Chicago, IL",10d,"$2,175 - $2,500 (Landlord est.)"
The Hadley,3.7,2BR/1BA,"Akron, OH",3d,
Pinecrest Gardens,2.7,2BR/2BA,"Farmington Hills, MI",30d+,"$1,225 - $1,400 (Landlord est.)"
Brightwater Flats,3.1,1BR,"Ithaca, NY",6d,"$950 - $1,300 (RentPulse est.)"
Crestline Apartments,3.7,Three Bedroom,"Dallas, TX",30d+,"$2,000 - $2,925 (Landlord est.)"
The Ardmore,3.9,2 Bed / 2 Bath,"Farmington Hills, MI",2d,"$1,375 - $1,875 (Landlord est.)"
The Bellamy,2.9,Studio - Renovated,"Birmingham, AL",10d,$675 - $900 (Landlord est.)
Autumn Ridge Apartments,4.7,4 Bed / 4 Bath - Student Housing,"Nashville, TN",2d,"$2,350 - $3,350 (RentPulse est.)"
Wexford Place,2.8,TWO BEDROOM,"Atlanta, GA",2d,"$1,750 - $2,450 (Landlord est.)"
Waterford Place,3.6,2 Bedroom Townhome,"Wichita, KS",3d,"$1,125 - $1,450 (RentPulse est.)"
The Beacon on Main,3.0,Two Bedroom Apartment Home,"Akron, OH",1d,
"Crown Ridge Residential, LLC",3.7,2BR,"Bloomington, IN",2d,"$1,250 - $1,750 (Landlord est.)"
Brightwater Flats,3.7,3 Bed / 2.5 Bath,"Nashville, TN",9d,"$2,075 - $2,725 (RentPulse est.)"
The Hadley,3.3,"Two Bed, Two Bath (Top Floor)","Salt Lake City, UT",28d,"$1,400 - $2,000 (RentPulse est.)"
The Coventry,3.4,1 Bed / 1 Bath - Renovated,"Madison, WI",12d,"$975 - $1,100 (RentPulse est.)"
Summit House,3.5,2 Bedroom Apartment,"Miami, FL",14d,"$1,875 - $2,350 (Landlord est.)"
Meridian Court,4.2,2BR,Central New Jersey,2d,"$2,175 - $2,475 (Landlord est.)"
Arbor Lane Apartments,4.0,2 Bed / 1 Bath,"Omaha, NE",5d,
Rosewood Terrace,3.1,Studio Loft,"Louisville, KY",30d+,$775 - $875 (Landlord est.)
"Crown Ridge Residential, LLC",3.6,Five Bedroom House,"Alpharetta, GA",6d,"$2,525 - $3,575 (RentPulse est.)"
,3.7,STUDIO,"Kansas City, MO",14d,$700 - $900 (Landlord est.)
Foxwood Crossing,4.2,1 Bedroom Loft,"Nashville, TN",7d,
The Hollis,3.6,1 Bedroom Garden Level,"Chattanooga, TN",7d,"$825 - $1,175 (RentPulse est.)"
The Landmark at Midtown,3.3,1 Bedroom - Upgraded Finishes,"Providence, RI",9d,"$1,375 - $1,500 (Landlord est.)"
The Coventry,3.8,2BR,"Dallas, TX",30d+,"$1,375 - $1,975 (RentPulse est.)"
The Coventry,3.7,One Bedroom Apartment Home,"Madison, WI",3d,"$1,025 - $1,175 (RentPulse est.)"
The Landmark at Midtown,,1 Bed / 1 Bath + Den,"Washington, DC",1d,"$1,750 - $2,500 (Landlord est.)"
Meridian Court,2.6,1 Bed / 1 Bath - Renovated,"Minneapolis, MN",20d,
The Windermere,3.9,2 Bedroom - Washer/Dryer in Unit,"Farmington Hills, MI",2d,"$1,075 - $1,225 (Landlord est.)"
Rosewood Terrace,3.9,TWO BEDROOM,"Colorado Springs, CO",30d+,"$1,275 - $1,625 (Landlord est.)"
Thistlewood Commons,3.3,1 bed 1 bath,"Aguadilla, PR",16d,
Brightwater Flats,4.2,1 Bed / 1 Bath - Renovated,Dallas-Fort Worth,3d,
The Windermere,4.7,2BR,"Ann Arbor, MI",7d,
Rosewood Terrace,3.8,2 Bedroom Townhome,"Orlando, FL",3d,"$1,500 - $2,225 (Landlord est.)"
Autumn Ridge Apartments,3.9,One Bedroom / One Bath,"Cary, NC",3d,
Meridian Court,2.3,1BR/1BA,"Akron, OH",20d,$700 - $850 (Landlord est.)
Barrett Square Apartments,3.6,Two Bedroom / Two Bath,"Reno, NV",8d,"$1,450 - $1,725 (RentPulse est.)"
Rosewood Terrace,3.3,3 Bed / 2 Bath - Garage Included,"St. Louis, MO",2d,"$1,550 - $2,125 (Landlord est.)"
The Fairmount,2.2,2 Bedroom Duplex,"Charlotte, NC",7d,"$1,325 - $1,675 (RentPulse est.)"
Tanglewood Apartments,2.7,Two Bedroom / Two Bath,"Wichita, KS",30d+,"$1,050 - $1,450 (Landlord est.)"
Summit House,2.8,1BR,"San Jose, CA",5d,"$2,000 - $2,900 (Landlord est.)"
Birchwood Estates,3.9,2 Bedroom Duplex,"Athens, GA",30d+,"$1,100 - $1,375 (Landlord est.)"
"The Grove at Erie, Building C",3.6,Three Bedroom,"Buffalo, NY",4d,"$1,400 - $1,675 (Landlord est.)"
The Bellamy,4.5,5 Bed / 3 Bath,"Richmond, VA",2d,"$2,050 - $2,700 (Landlord est.)"
"The Yards at Ohio River, Tower A",4.7,1BD/1BA,"Athens, GA",6d,"$1,025 - $1,150 (RentPulse est.)"
The Hollis,,1 Bedroom Apartment,"Minneapolis, MN",4d,"$1,025 - $1,375 (Landlord est.)"
The Weatherby,4.1,1 Bedroom Garden Level,Inland Empire,3d,"$1,325 - $1,850 (RentPulse est.)"
Brightwater Flats,4.3,1 Bedroom Apartment,"Bakersfield, CA",8d,"$1,050 - $1,425 (RentPulse est.)"
The Dover,4.1,4BR/2BA,"Ithaca, NY",14d,"$2,250 - $3,025 (Landlord est.)"
Autumn Ridge Apartments,3.9,Two Bedroom,"San Francisco, CA",30d+,"$2,350 - $3,325 (RentPulse est.)"
Hawthorne Place,3.0,Studio (Utilities Included),"Akron, OH",30d+,$625 - $725 (RentPulse est.)
Waterford Place,,1BD/1BA,"New Orleans, LA",24d,"$1,175 - $1,725 (RentPulse est.)"
The Sterling,3.6,2 Bedroom - Washer/Dryer in Unit,"San Jose, CA",30d+,"$2,325 - $3,400 (Landlord est.)"
The Alder,3.9,Efficiency,"Morgantown, WV",8d,$625 - $850 (RentPulse est.)
The Tessera,4.1,Micro Studio,"San Francisco, CA",4d,"$1,850 - $2,200 (RentPulse est.)"
The Windermere,4.7,"Two Bed, Two Bath (Top Floor)","Boise, ID",6d,"$1,400 - $1,975 (RentPulse est.)"
The Carlisle,2.3,Junior Studio,"Sacramento, CA",30d+,"$1,025 - $1,275 (Landlord est.)"
Brightwater Flats,4.1,2BR/1BA,"Kansas City, MO",6d,"$1,325 - $1,900 (Landlord est.)"
Bayside Apartment Homes,3.7,2 bed 2 bath,"Phoenix, AZ",2d,
Summit House,4.0,Studio (Utilities Included),"Cleveland, OH",30d+,"$825 - $1,075 (Landlord est.)"
Ironworks Lofts,3.3,2 Bed / 1.5 Bath,"San Diego, CA",2d,"$2,150 - $2,550 (Landlord est.)"
The Ellsworth,3.8,2 Bed / 1 Bath,"Louisville, KY",13d,"$1,225 - $1,525 (Landlord est.)"
Sycamore Court,3.7,2BR/1BA,"Chicago, IL",2d,"$1,575 - $2,325 (RentPulse est.)"
Parkview Terrace,,3BD/2BA,United States,16d,"$1,575 - $1,800 (RentPulse est.)"
"Lakeview Commons, Phase II",3.1,STUDIO,"Atlanta, GA",4d,"$900 - $1,125 (Landlord est.)"
Arbor Lane Apartments,4.4,1BR,Research Triangle,21d,"$1,100 - $1,250 (Landlord est.)"
Pinecrest Gardens,4.7,2BR/2BA,"Madison, WI",30d+,"$1,250 - $1,750 (Landlord est.)"
The Dover,3.4,1BD/1BA,"Bloomington, IN",9d,"$1,025 - $1,350 (Landlord est.)"
Fern Hollow Apartments,4.3,3 Bed / 2 Bath,"Washington, DC",3d,"$2,850 - $3,475 (Landlord est.)"
"The Grove at Erie, Building C",3.4,1 Bedroom - Upgraded Finishes,"Sacramento, CA",30d+,"$1,425 - $2,050 (RentPulse est.)"
Station Square Residences,3.8,3 Bedroom House,"Colorado Springs, CO",4d,"$1,650 - $2,275 (Landlord est.)"
Mill District Lofts,3.2,"Three Bed, Two Bath","Ithaca, NY",30d+,"$1,750 - $2,550 (RentPulse est.)"
The Weatherby,2.6,1 Bedroom Loft,"Reno, NV",7d,"$1,150 - $1,275 (Landlord est.)"
Clearview Heights,3.8,2BD/2BA,"Pittsburgh, PA",2d,"$1,250 - $1,500 (RentPulse est.)"
Willow Creek Apartments,3.2,Studio - Renovated,"Houston, TX",10d,"$1,000 - $1,400 (Landlord est.)"
"Sandalwood Apartments, South Campus",4.1,1 Bedroom Apartment,"Seattle, WA",30d+,"$1,525 - $1,925 (RentPulse est.)"
Kingsley Park Apartments,4.2,2 Bedroom - Washer/Dryer in Unit,"Cleveland, OH",3d,"$1,200 - $1,750 (RentPulse est.)"
Canal Street Flats,3.3,3 Bedroom Apartment,"Kansas City, MO",30d+,
Tanglewood Apartments,4.2,2 bed 2 bath,"Louisville, KY",10d,"$1,175 - $1,300 (Landlord est.)"
Autumn Ridge Apartments,4.1,2 Bedroom - Washer/Dryer in Unit,"Omaha, NE",30d+,"$1,075 - $1,375 (Landlord est.)"
Pinecrest Gardens,3.0,1 Bedroom Apartment,"Hartford, CT",6d,"$1,250 - $1,600 (RentPulse est.)"
"Sandalwood Apartments, South Campus",4.4,4BR/4BA (Per Bed Lease),"Denver, CO",24d,
Clearview Heights,3.4,1BR/1BA,"Morgantown, WV",30d+,"$825 - $1,125 (RentPulse est.)"
The Coventry,,1 Bed / 1.5 Bath,"Ithaca, NY",10d,"$1,000 - $1,425 (Landlord est.)"
Northgate Apartment Homes,3.3,Junior Studio,"Morgantown, WV",5d,$775 - $950 (RentPulse est.)
The Marigold,3.9,One Bedroom / One Bath,"Boise, ID",6d,"$1,150 - $1,450 (Landlord est.)"
Bayside Apartment Homes,3.0,4 Bedroom House,"Tampa, FL",7d,"$2,225 - $2,850 (Landlord est.)"
Birchwood Estates,3.8,1 Bed/1 Bath (Corner Unit),Greater Boston Area,30d+,"$1,650 - $2,450 (Landlord est.)"
Fieldstone Commons,3.6,2 bed 2 bath,"Charlotte, NC",10d,"$1,625 - $1,950 (Landlord est.)"
Birchwood Estates,4.2,"One Bed, One Bath","Seattle, WA",5d,"$1,750 - $2,550 (RentPulse est.)"
The Weatherby,3.2,1 Bedroom Loft,"New Orleans, LA",2d,"$1,025 - $1,175 (Landlord est.)"
Prospect Point Flats,3.5,1 Bed / 1.5 Bath,"Pittsburgh, PA",20d,"$1,050 - $1,250 (Landlord est.)"
"Crown Ridge Residential, LLC",3.9,1 Bed / 1 Bath - Renovated,"State College, PA",2d,"$1,075 - $1,525 (RentPulse est.)"
Fern Hollow Apartments,3.8,4 bed 2 bath,Northern Virginia,11d,"$2,600 - $3,575 (RentPulse est.)"
Willow Creek Apartments,4.5,Micro Studio,"State College, PA",30d+,$725 - $900 (RentPulse est.)
The Merchant Lofts,3.5,2BR/1BA,"Toledo, OH",1d,"$925 - $1,150 (RentPulse est.)"
The Bellamy,4.3,2BD/2BA,"Memphis, TN",2d,"$1,025 - $1,275 (Landlord est.)"
Wexford Place,3.8,1 Bed / 1.5 Bath,"Los Angeles, CA",20d,"$1,450 - $1,650 (RentPulse est.)"
Meridian Court,4.4,3 Bedroom House,"New York, NY",2d,"$3,075 - $3,900 (RentPulse est.)"
Arbor Lane Apartments,3.3,studio,Inland Empire,13d,
Silverleaf Apartments,3.4,2BR,"Chattanooga, TN",30d+,"$1,075 - $1,275 (Landlord est.)"
Rosewood Terrace,,Two Bedroom,"Omaha, NE",30d+,"$1,300 - $1,475 (RentPulse est.)"
The Ardmore,3.5,1BR,,10d,$750 - $925 (RentPulse est.)
Arbor Lane Apartments,2.9,1BR,Dallas-Fort Worth,30d+,"$1,150 - $1,575 (RentPulse est.)"
Riverbend Lofts,4.0,2 Bed / 2 Bath - Renovated,"Pittsburgh, PA",1d,"$1,250 - $1,800 (RentPulse est.)"
Fern Hollow Apartments,3.0,"One Bed, One Bath","Charlotte, NC",3d,"$1,050 - $1,200 (RentPulse est.)"
"Crown Ridge Residential, LLC",3.8,1 Bedroom Garden Level,"Ithaca, NY",30d+,"$1,150 - $1,675 (RentPulse est.)"
Willow Creek Apartments,4.3,Five Bedroom House,Greater Boston Area,30d+,"$2,950 - $3,575 (Landlord est.)"
Hawthorne Place,3.4,4 bed 2 bath,"Erie, PA",2d,
Fieldstone Commons,4.5,1 bed 1 bath,"Athens, GA",7d,"$925 - $1,175 (Landlord est.)"
"Crown Ridge Residential, LLC",3.4,2BR/1BA,"Dayton, OH",3d,"$950 - $1,300 (RentPulse est.)"
The Hollis,2.3,Micro Studio,"Dayton, OH",30d+,$700 - $850 (Landlord est.)
The Whitmore,3.5,1 Bed / 1 Bath + Den,"Memphis, TN",2d,"$975 - $1,350 (Landlord est.)"
Vintage Brick Lofts,2.6,Three Bedroom Townhome,"Memphis, TN",30d+,"$1,550 - $2,125 (Landlord est.)"
The Landmark at Midtown,3.0,5 Bed / 3 Bath,"Tucson, AZ",1d,"$1,700 - $2,150 (RentPulse est.)"
Willow Creek Apartments,3.7,3 Bed / 2.5 Bath,"Bakersfield, CA",3d,"$1,675 - $2,250 (RentPulse est.)"
Meridian Court,2.9,1BD/1BA,"San Francisco, CA",2d,"$1,775 - $2,075 (RentPulse est.)"
The Merchant Lofts,3.7,One Bedroom / One Bath,"Minneapolis, MN",12d,"$1,150 - $1,525 (RentPulse est.)"
Sycamore Court,,1 Bedroom Loft,Minneapolis-Saint Paul,30d+,"$1,025 - $1,250 (Landlord est.)"
The Larkspur,3.5,4BR/2BA,"Akron, OH",30d+,"$1,425 - $2,025 (RentPulse est.)"
The Dover,3.5,1 Bedroom Garden Level,"New York, NY",30d+,"$2,175 - $2,975 (Landlord est.)"
The Beacon on Main,3.9,2 Bedroom - Washer/Dryer in Unit,"Fort Wayne, IN",5d,"$1,025 - $1,275 (RentPulse est.)"
Station Square Residences,4.9,3BD/2BA,"Farmington Hills, MI",12d,"$1,700 - $2,350 (Landlord est.)"
Sunset Ridge Apartments,3.8,One Bedroom / One Bath,"Seattle, WA",3d,"$1,800 - $2,225 (RentPulse est.)"
Wexford Place,3.3,1 Bed / 1.5 Bath,"Wichita, KS",10d,$700 - $950 (RentPulse est.)
The Ashford,4.1,"One Bed, One Bath","Buffalo, NY",4d,$800 - $950 (Landlord est.)
"The Grove at Erie, Building C",4.2,1 Bedroom - Upgraded Finishes,"Erie, PA",10d,$750 - $875 (Landlord est.)
The Marigold,,Two Bedroom Apartment Home,"Manassas, VA",2d,"$1,700 - $2,250 (RentPulse est.)"
The Larkspur,4.2,Two Bedroom,"State College, PA",30d+,"$1,375 - $1,550 (RentPulse est.)"
Foxwood Crossing,4.1,4BR/4BA (Per Bed Lease),"Charlotte, NC",16d,"$2,500 - $3,000 (Landlord est.)"
The Landmark at Midtown,3.8,Efficiency / Studio,Lehigh Valley,30d+,
Mill District Lofts,2.5,2 Bed / 1 Bath,"Cleveland, OH",5d,"$1,275 - $1,600 (RentPulse est.)"
Station Square Residences,2.7,2 Bedroom Duplex,"Ann Arbor, MI",30d+,"$1,650 - $2,050 (Landlord est.)"
The Carlisle,3.6,Studio - Renovated,"Phoenix, AZ",4d,
Northgate Apartment Homes,2.4,5 Bed / 3 Bath,"Austin, TX",2d,"$2,550 - $3,250 (Landlord est.)"
"Beacon Residential Group, LLC",3.5,Studio Loft,"Dayton, OH",4d,$625 - $800 (Landlord est.)
Brightwater Flats,3.9,2 Bed / 2 Bath - Renovated,"Buffalo, NY",30d+,"$1,125 - $1,400 (Landlord est.)"
Ironworks Lofts,3.7,1 Bedroom Apartment,"Salt Lake City, UT",8d,"$1,250 - $1,600 (RentPulse est.)"
The Weatherby,3.1,2 Bedroom Townhome,"Omaha, NE",14d,"$1,275 - $1,450 (RentPulse est.)"
Wexford Place,3.1,1 Bed / 1 Bath + Den,"Bakersfield, CA",2d,"$1,125 - $1,625 (RentPulse est.)"
The Rowan,3.5,Three Bedroom Townhome,"Salt Lake City, UT",3d,"$1,725 - $2,125 (RentPulse est.)"
The Carlisle,2.9,Studio Loft,"Dayton, OH",3d,$675 - $725 (Landlord est.)
The Ellsworth,2.8,3BR/2BA,"New York, NY",5d,
"The Yards at Ohio River, Tower A",4.0,3BR/2.5BA,"Pittsburgh, PA",4d,
Harborview Commons,4.4,"Two Bed, Two Bath (Top Floor)","Bakersfield, CA",11d,"$1,400 - $1,825 (RentPulse est.)"
Canal Street Flats,3.8,Efficiency / Studio,"Cleveland, OH",30d+,$675 - $975 (RentPulse est.)
"Pinnacle Living, Inc.",3.4,1 Bedroom Apartment,"Buffalo, NY",12d,$800 - $900 (Landlord est.)
Greenway Crossing,4.9,1 Bed / 1 Bath + Den,"Omaha, NE",7d,"$800 - $1,025 (Landlord est.)"
Willow Creek Apartments,3.7,Studio Loft,"Birmingham, AL",2d,"$775 - $1,000 (RentPulse est.)"
The Dover,3.9,1 Bedroom Apartment,Minneapolis-Saint Paul,2d,"$1,050 - $1,200 (Landlord est.)"
Arbor Lane Apartments,4.1,"Two Bed, Two Bath (Top Floor)","Miami, FL",24d,"$2,075 - $2,825 (Landlord est.)"
Foxwood Crossing,2.2,1 Bedroom - Upgraded Finishes,"Boise, ID",4d,"$1,075 - $1,225 (RentPulse est.)"
Riverbend Lofts,2.5,2 Bed / 1.5 Bath,"Louisville, KY",9d,"$1,150 - $1,400 (RentPulse est.)"
Fieldstone Commons,4.0,One Bedroom,Greater Boston Area,30d+,"$1,750 - $2,225 (RentPulse est.)"
Maple Grove Commons,3.3,2 Bedroom Duplex,"Albuquerque, NM",1d,"$1,250 - $1,725 (Landlord est.)"
Fern Hollow Apartments,4.0,Two Bedroom / Two Bath,,11d,"$1,425 - $2,050 (Landlord est.)"
Vintage Brick Lofts,3.6,Two Bedroom Apartment Home,"Providence, RI",30d+,"$1,825 - $2,375 (RentPulse est.)"
Silverleaf Apartments,,2 Bedroom - Washer/Dryer in Unit,"Birmingham, AL",30d+,"$925 - $1,125 (Landlord est.)"
Pebble Brook Village,3.8,studio,"Richmond, VA",5d,"$975 - $1,125 (Landlord est.)"
"The Grove at Erie, Building C",4.4,3 Bedroom Apartment,"Wichita, KS",4d,"$1,225 - $1,775 (Landlord est.)"
"The Grove at Erie, Building C",4.1,1 Bed / 1 Bath,"Chicago, IL",8d,"$1,250 - $1,575 (RentPulse est.)"
Riverbend Lofts,4.7,Two Bedroom,Central New Jersey,7d,"$1,775 - $2,225 (Landlord est.)"
Rosewood Terrace,4.1,Studio Apartment,"Manassas, VA",30d+,"$975 - $1,200 (RentPulse est.)"
The Ellsworth,3.5,One Bedroom / One Bath,"Spokane, WA",4d,"$925 - $1,150 (Landlord est.)"
The Landmark at Midtown,3.5,One Bedroom / One Bath,"Hartford, CT",2d,"$1,175 - $1,400 (Landlord est.)"
Copperfield Commons,3.5,1 Bed / 1 Bath,"Pittsburgh, PA",3d,"$1,000 - $1,300 (RentPulse est.)"
The Landmark at Midtown,3.9,One Bedroom Townhome,"Birmingham, AL",7d,"$800 - $1,150 (Landlord est.)"
Waterford Place,,3 Bed / 2 Bath,"Toledo, OH",2d,"$1,375 - $1,975 (RentPulse est.)"
Greenway Crossing,3.7,1 Bed/1 Bath (Corner Unit),Multiple Locations,8d,"$1,250 - $1,650 (RentPulse est.)"
"Pinnacle Living, Inc.",3.3,Two Bedroom Apartment Home,"Reno, NV",6d,"$1,750 - $2,450 (RentPulse est.)"
Parkview Terrace,3.3,"2 Bed, 2 Bath, Den","Omaha, NE",30d+,
Lakeshore Landing,3.3,3 Bedroom Apartment,"Minneapolis, MN",30d+,"$1,775 - $2,375 (Landlord est.)"
"Crown Ridge Residential, LLC",2.9,2BR/2BA,"Richmond, VA",3d,"$1,400 - $2,025 (RentPulse est.)"
Pebble Brook Village,3.0,3 Bedroom Apartment,"Bakersfield, CA",30d+,"$1,500 - $2,150 (RentPulse est.)"
Silverleaf Apartments,,2 bed 2 bath,"Chattanooga, TN",3d,"$1,025 - $1,325 (RentPulse est.)"
"Hartwell Properties, Inc.",4.2,1 Bed / 1 Bath - Renovated,"Bakersfield, CA",30d+,"$975 - $1,275 (Landlord est.)"
The Bellamy,4.5,1 Bed / 1 Bath + Den,"San Francisco, CA",5d,"$1,775 - $2,525 (Landlord est.)"
Canal Street Flats,3.5,One Bedroom Townhome,"Minneapolis, MN",3d,"$1,225 - $1,725 (RentPulse est.)"
The Coventry,3.8,1BD/1BA,Minneapolis-Saint Paul,10d,
Ironworks Lofts,,1BD/1BA,"San Diego, CA",5d,"$1,625 - $1,900 (RentPulse est.)"
The Overlook at Shadyside,3.1,Studio Apartment,"Buffalo, NY",5d,$800 - $875 (Landlord est.)
Autumn Ridge Apartments,3.9,2BR/2BA,"Portland, OR",8d,"$1,725 - $2,300 (RentPulse est.)"
The Fairmount,3.4,2 Bed / 1.5 Bath,"Kansas City, MO",14d,"$1,200 - $1,600 (Landlord est.)"
Fern Hollow Apartments,3.2,Three Bedroom,"Dallas, TX",11d,"$2,075 - $2,850 (Landlord est.)"
Ironworks Lofts,3.2,"2 Bed, 2 Bath, Den","Erie, PA",2d,"$1,025 - $1,350 (Landlord est.)"
Lakeshore Landing,4.1,Three Bedroom,"St. Louis, MO",3d,"$1,575 - $1,750 (RentPulse est.)"
The Ashford,3.7,Two Bedroom,Greater Boston Area,30d+,"$2,100 - $2,350 (Landlord est.)"
Riverbend Lofts,3.7,Five Bedroom House,Northern Virginia,30d+,"$2,900 - $3,225 (Landlord est.)"
The Landmark at Midtown,2.9,Studio - Renovated,"Cary, NC",2d,"$1,050 - $1,475 (RentPulse est.)"
The Bellamy,,4 Bedroom House,"Memphis, TN",1d,"$1,875 - $2,200 (Landlord est.)"
Silverleaf Apartments,3.4,2 Bedroom - Washer/Dryer in Unit,"St. Louis, MO",30d+,"$1,250 - $1,400 (RentPulse est.)"
The Bellamy,3.9,1 Bedroom Garden Level,"Boston, MA",30d+,"$1,775 - $2,525 (RentPulse est.)"
Highland Row,3.8,3 Bedroom House,"Omaha, NE",30d+,"$1,550 - $2,200 (RentPulse est.)"
The Whitmore,3.2,1 Bedroom - Upgraded Finishes,"State College, PA",5d,
The Alder,3.1,1BD/1BA,"Toledo, OH",10d,
The Beacon on Main,4.0,1 Bedroom Apartment,"Madison, WI",3d,"$1,200 - $1,525 (RentPulse est.)"
The Hollis,4.2,3 Bedroom Townhouse,"Cleveland, OH",14d,"$1,400 - $1,775 (RentPulse est.)"
Arbor Lane Apartments,3.9,Two Bedroom Apartment Home,"Reno, NV",9d,"$1,475 - $2,075 (RentPulse est.)"
Cypress Creek Village,3.3,Two Bedroom,"Akron, OH",30d+,"$925 - $1,050 (RentPulse est.)"
The Bellamy,4.1,2 Bed / 1 Bath,"Indianapolis, IN",30d+,"$1,125 - $1,525 (RentPulse est.)"
Pinecrest Gardens,3.2,2 Bed / 2 Bath - Renovated,"Tucson, AZ",24d,"$1,375 - $1,975 (Landlord est.)"
Quarry Hill Apartments,4.2,1 Bedroom Garden Level,"Manassas, VA",2d,"$1,450 - $1,875 (Landlord est.)"
Maple Grove Commons,,1 Bed / 1.5 Bath,"Washington, DC",5d,"$1,700 - $2,075 (RentPulse est.)"
The Bellamy,3.1,3 Bedroom Apartment,"Los Angeles, CA",30d+,"$2,950 - $4,025 (Landlord est.)"
Brightwater Flats,4.0,2 bed 2 bath,"Farmington Hills, MI",30d+,"$1,300 - $1,475 (Landlord est.)"
"The Yards at Ohio River, Tower A",,Micro Studio,"Ithaca, NY",30d+,"$750 - $1,050 (RentPulse est.)"
The Rowan,,1 Bed / 1 Bath,"Columbus, OH",16d,"$1,000 - $1,200 (Landlord est.)"
Mill District Lofts,3.2,1BR,"Miami, FL",2d,"$1,650 - $2,175 (RentPulse est.)"
Sunset Ridge Apartments,4.2,4 Bed / 2 Bath,"Cleveland, OH",30d+,
The Sterling,,2 Bedroom - Washer/Dryer in Unit,"Ithaca, NY",1d,"$1,175 - $1,725 (RentPulse est.)"
Rosewood Terrace,3.7,"One Bed, One Bath","Scranton, PA",30d+,
The Hadley,3.4,1 Bedroom - Upgraded Finishes,United States,30d+,"$1,100 - $1,275 (Landlord est.)"
"Pinnacle Living, Inc.",4.2,1 Bed/1 Bath (Corner Unit),"Boise, ID",2d,"$1,200 - $1,700 (RentPulse est.)"
The Fairmount,3.9,1BR/1BA,"Seattle, WA",7d,"$1,600 - $2,200 (Landlord est.)"
Brookside Manor,2.8,"Three Bed, Two Bath",Dallas-Fort Worth,30d+,"$1,675 - $2,075 (RentPulse est.)"
The Overlook at Shadyside,4.7,1 Bed / 1 Bath - Renovated,"State College, PA",30d+,"$925 - $1,275 (Landlord est.)"
Rosewood Terrace,2.9,1 Bedroom Garden Level,Inland Empire,10d,"$1,375 - $1,650 (RentPulse est.)"
The Windermere,3.7,One Bedroom Apartment Home,"San Francisco, CA",3d,"$2,225 - $2,575 (RentPulse est.)"
The Ardmore,2.6,2BD/2BA,"Boise, ID",21d,"$1,450 - $1,625 (Landlord est.)"
Maple Grove Commons,3.4,One Bedroom / One Bath,"Aguadilla, PR",3d,
The Hadley,4.2,2BD/2BA,"Milwaukee, WI",16d,"$1,150 - $1,625 (Landlord est.)"
Cedar Ridge Village,3.0,One Bedroom Apartment Home,"Richmond, VA",30d+,"$950 - $1,400 (RentPulse est.)"
Copperfield Commons,3.5,"One Bed, One Bath",United States,6d,"$1,225 - $1,350 (Landlord est.)"
Crestline Apartments,4.0,Two Bedroom Apartment Home,"Phoenix, AZ",10d,"$1,525 - $1,675 (Landlord est.)"
Greenway Crossing,4.4,1 Bed/1 Bath (Corner Unit),"Omaha, NE",30d+,"$1,025 - $1,175 (Landlord est.)"
Foxwood Crossing,3.1,3BD/2BA,"Birmingham, AL",9d,"$1,500 - $2,175 (RentPulse est.)"
The Merchant Lofts,,4 bed 2 bath,"Seattle, WA",20d,"$3,300 - $4,700 (Landlord est.)"
"The Yards at Ohio River, Tower A",,3 Bed / 2.5 Bath,"Chicago, IL",9d,"$1,825 - $2,075 (Landlord est.)"
Pebble Brook Village,,Three Bedroom,"Bakersfield, CA",10d,
The Sterling,4.3,TWO BEDROOM,"Seattle, WA",7d,"$2,200 - $3,175 (Landlord est.)"
Waterford Place,4.1,2 Bedroom Townhome,"Dayton, OH",9d,"$950 - $1,150 (Landlord est.)"
Cedar Ridge Village,4.7,1 Bedroom Loft,"Erie, PA",30d+,$700 - $925 (Landlord est.)
Spring Garden Commons,4.3,Studio Apartment,"New York, NY",1d,"$1,525 - $1,700 (Landlord est.)"
The Windermere,3.4,2 bed 2 bath,"Atlanta, GA",24d,"$1,450 - $2,075 (Landlord est.)"
"Crown Ridge Residential, LLC",4.0,1 Bed / 1 Bath,"Salt Lake City, UT",3d,"$1,325 - $1,700 (RentPulse est.)"
The Bellamy,4.0,2 bed 2 bath,"St. Louis, MO",30d+,"$1,200 - $1,775 (RentPulse est.)"
Brightwater Flats,2.9,Two Bedroom / Two Bath,"Providence, RI",3d,"$1,500 - $1,950 (RentPulse est.)"
Greenway Crossing,,1 Bedroom Apartment,Inland Empire,8d,"$1,200 - $1,625 (RentPulse est.)"
Riverbend Lofts,4.7,1BR/1BA,"Cary, NC",9d,"$1,275 - $1,900 (Landlord est.)"
Chestnut Hill Commons,4.9,2BR,"Portland, OR",6d,"$1,750 - $2,325 (RentPulse est.)"
The Hollis,4.3,3BD/2BA,"Houston, TX",8d,"$1,850 - $2,125 (RentPulse est.)"
Cedar Ridge Village,3.1,STUDIO,"Scranton, PA",1d,$725 - $900 (RentPulse est.)
The Landmark at Midtown,,3 bed 2 bath,"Richmond, VA",3d,"$1,550 - $2,200 (RentPulse est.)"
