_id,date,center_name,attendance_count
2292,2017-06-08,Phillips Community Center,73
2293,2017-06-08,Ammon Community Center,103
2294,2017-06-08,Brookline Community Center,28
2295,2017-06-08,Jefferson Community Center,30
2296,2017-06-08,Magee Community Center,34
2297,2017-06-08,Warrington Community Center,18
2298,2017-06-08,West Penn Community Center,71
2299,2017-06-07,Phillips Community Center,68
2300,2017-06-07,Paulson Community Center,23
2301,2017-06-07,Ormsby Community Center,24
2302,2017-06-07,Brookline Community Center,44
2303,2017-06-07,Ammon Community Center,60
2304,2017-06-07,Magee Community Center,44
2305,2017-06-07,Jefferson Community Center,15
2306,2017-06-07,West Penn Community Center,70
2307,2017-06-07,Warrington Community Center,30
2308,2017-06-06,Ormsby Community Center,15
2309,2017-06-06,Paulson Community Center,28
2310,2017-06-06,Phillips Community Center,37
2311,2017-06-06,Ammon Community Center,66
2312,2017-06-06,Brookline Community Center,40
2313,2017-06-06,Jefferson Community Center,26
2314,2017-06-06,Magee Community Center,43
2315,2017-06-06,Warrington Community Center,38
2316,2017-06-06,West Penn Community Center,70
2317,2017-06-05,Phillips Community Center,160
2318,2017-06-05,Paulson Community Center,37
2319,2017-06-05,Ormsby Community Center,32
2320,2017-06-05,Brookline Community Center,73
2321,2017-06-05,Ammon Community Center,95
2322,2017-06-05,Magee Community Center,58
2323,2017-06-05,Jefferson Community Center,19
2324,2017-06-05,West Penn Community Center,86
2325,2017-06-05,Warrington Community Center,17
2326,2017-06-04,Ammon Community Center,83
2327,2017-06-03,Phillips Community Center,15
2328,2017-06-03,Brookline Community Center,33
2329,2017-06-03,Magee Community Center,11
2330,2017-06-03,West Penn Community Center,44
2331,2017-06-02,Phillips Community Center,67
2332,2017-06-02,Ormsby Community Center,21
2333,2017-06-02,Paulson Community Center,27
2334,2017-06-02,Brookline Community Center,51
2335,2017-06-02,Ammon Community Center,85
2336,2017-06-02,Arlington Community Center,8
2337,2017-06-02,Magee Community Center,40
2338,2017-06-02,Jefferson Community Center,29
2339,2017-06-02,West Penn Community Center,73
2340,2017-06-02,Warrington Community Center,7
2341,2017-06-01,Paulson Community Center,37
2342,2017-06-01,Ormsby Community Center,24
2343,2017-06-01,Phillips Community Center,75
2344,2017-06-01,Arlington Community Center,5
2345,2017-06-01,Ammon Community Center,86
2346,2017-06-01,Brookline Community Center,56
2347,2017-06-01,Jefferson Community Center,34
2348,2017-06-01,Magee Community Center,25
2349,2017-06-01,Warrington Community Center,12
2350,2017-06-01,West Penn Community Center,65
2351,2017-05-31,Phillips Community Center,92
2352,2017-05-31,Ormsby Community Center,24
2353,2017-05-31,Paulson Community Center,24
2354,2017-05-31,Brookline Community Center,62
2355,2017-05-31,Ammon Community Center,52
2356,2017-05-31,Arlington Community Center,5
2357,2017-05-31,Magee Community Center,35
2358,2017-05-31,Jefferson Community Center,26
2359,2017-05-31,West Penn Community Center,61
2360,2017-05-31,Warrington Community Center,23
2361,2017-05-30,Paulson Community Center,28
2362,2017-05-30,Ormsby Community Center,40
2363,2017-05-30,Phillips Community Center,128
2364,2017-05-30,Arlington Community Center,15
2365,2017-05-30,Ammon Community Center,60
2366,2017-05-30,Brookline Community Center,34
2367,2017-05-30,Jefferson Community Center,17
2368,2017-05-30,Magee Community Center,42
2369,2017-05-30,Warrington Community Center,26
2370,2017-05-30,West Penn Community Center,104
2371,2017-05-26,Phillips Community Center,81
2372,2017-05-26,Ormsby Community Center,61
2373,2017-05-26,Paulson Community Center,29
2374,2017-05-26,Brookline Community Center,48
2375,2017-05-26,Ammon Community Center,59
2376,2017-05-26,Arlington Community Center,8
2377,2017-05-26,Magee Community Center,32
2378,2017-05-26,Jefferson Community Center,33
2379,2017-05-26,West Penn Community Center,68
2380,2017-05-26,Warrington Community Center,18
2381,2017-05-25,Paulson Community Center,43
2382,2017-05-25,Ormsby Community Center,56
2383,2017-05-25,Phillips Community Center,100
2384,2017-05-25,Arlington Community Center,4
2385,2017-05-25,Ammon Community Center,35
2386,2017-05-25,Brookline Community Center,47
2387,2017-05-25,Jefferson Community Center,29
2388,2017-05-25,Magee Community Center,19
2389,2017-05-25,Warrington Community Center,30
2390,2017-05-25,West Penn Community Center,117
2391,2017-05-24,Phillips Community Center,141
2392,2017-05-24,Ormsby Community Center,51
2393,2017-05-24,Paulson Community Center,28
2394,2017-05-24,Brookline Community Center,54
2395,2017-05-24,Ammon Community Center,13
2396,2017-05-24,Arlington Community Center,2
2397,2017-05-24,Magee Community Center,42
2398,2017-05-24,Jefferson Community Center,17
2399,2017-05-24,West Penn Community Center,56
2400,2017-05-24,Warrington Community Center,35
2401,2017-05-23,Paulson Community Center,31
2402,2017-05-23,Ormsby Community Center,53
2403,2017-05-23,Phillips Community Center,115
2404,2017-05-23,Arlington Community Center,3
2405,2017-05-23,Ammon Community Center,93
2406,2017-05-23,Brookline Community Center,48
2407,2017-05-23,Jefferson Community Center,38
2408,2017-05-23,Magee Community Center,27
2409,2017-05-23,Warrington Community Center,33
2410,2017-05-23,West Penn Community Center,111
2411,2017-05-22,Phillips Community Center,128
2412,2017-05-22,Ormsby Community Center,53
2413,2017-05-22,Paulson Community Center,27
2414,2017-05-22,Brookline Community Center,72
2415,2017-05-22,Ammon Community Center,139
2416,2017-05-22,Arlington Community Center,8
2417,2017-05-22,Magee Community Center,65
2418,2017-05-22,Jefferson Community Center,28
2419,2017-05-22,West Penn Community Center,55
2420,2017-05-22,Warrington Community Center,24
2421,2017-05-20,Phillips Community Center,22
2422,2017-05-20,Brookline Community Center,27
2423,2017-05-20,Magee Community Center,15
2424,2017-05-20,West Penn Community Center,60
2425,2017-05-19,Phillips Community Center,67
2426,2017-05-19,Paulson Community Center,26
2427,2017-05-19,Ormsby Community Center,79
2428,2017-05-19,Brookline Community Center,40
2429,2017-05-19,Arlington Community Center,2
2430,2017-05-19,Ammon Community Center,35
2431,2017-05-19,Magee Community Center,24
2432,2017-05-19,Jefferson Community Center,51
2433,2017-05-19,West Penn Community Center,55
2434,2017-05-19,Warrington Community Center,26
2435,2017-05-18,Ormsby Community Center,56
2436,2017-05-18,Paulson Community Center,17
2437,2017-05-18,Phillips Community Center,86
2438,2017-05-18,Ammon Community Center,170
2439,2017-05-18,Arlington Community Center,7
2440,2017-05-18,Brookline Community Center,31
2441,2017-05-18,Jefferson Community Center,25
2442,2017-05-18,Magee Community Center,24
2443,2017-05-18,Warrington Community Center,8
2444,2017-05-18,West Penn Community Center,114
2445,2017-05-17,Phillips Community Center,94
2446,2017-05-17,Paulson Community Center,28
2447,2017-05-17,Ormsby Community Center,33
2448,2017-05-17,Brookline Community Center,68
2449,2017-05-17,Arlington Community Center,5
2450,2017-05-17,Ammon Community Center,54
2451,2017-05-17,Magee Community Center,40
2452,2017-05-17,Jefferson Community Center,31
2453,2017-05-17,West Penn Community Center,76
2454,2017-05-17,Warrington Community Center,22
2455,2017-05-16,Ormsby Community Center,32
2456,2017-05-16,Phillips Community Center,77
2457,2017-05-16,Ammon Community Center,142
2458,2017-05-16,Brookline Community Center,4
2459,2017-05-16,Jefferson Community Center,21
2460,2017-05-16,West Penn Community Center,89
2461,2017-05-15,Phillips Community Center,76
2462,2017-05-15,Ormsby Community Center,56
2463,2017-05-15,Paulson Community Center,31
2464,2017-05-15,Brookline Community Center,42
2465,2017-05-15,Ammon Community Center,191
2466,2017-05-15,Arlington Community Center,8
2467,2017-05-15,Jefferson Community Center,22
2468,2017-05-15,Magee Community Center,1
2469,2017-05-15,West Penn Community Center,52
2470,2017-05-15,Warrington Community Center,32
2471,2017-05-13,Ormsby Community Center,6
2472,2017-05-13,Phillips Community Center,19
2473,2017-05-13,Brookline Community Center,104
2474,2017-05-13,West Penn Community Center,42
2475,2017-05-12,Phillips Community Center,77
2476,2017-05-12,Ormsby Community Center,74
2477,2017-05-12,Paulson Community Center,29
2478,2017-05-12,Brookline Community Center,37
2479,2017-05-12,Arlington Community Center,17
2481,2017-05-12,Jefferson Community Center,20
2482,2017-05-12,West Penn Community Center,86
2483,2017-05-12,Warrington Community Center,35
2484,2017-05-11,Paulson Community Center,37
2485,2017-05-11,Ormsby Community Center,57
2486,2017-05-11,Phillips Community Center,58
2487,2017-05-11,Ammon Community Center,141
2488,2017-05-11,Arlington Community Center,5
2489,2017-05-11,Brookline Community Center,52
2490,2017-05-11,Jefferson Community Center,30
2491,2017-05-11,Warrington Community Center,26
2492,2017-05-11,West Penn Community Center,158
2493,2017-05-10,Phillips Community Center,91
2494,2017-05-10,Ormsby Community Center,58
2495,2017-05-10,Paulson Community Center,24
2496,2017-05-10,Brookline Community Center,69
2497,2017-05-10,Arlington Community Center,13
2498,2017-05-10,Ammon Community Center,145
2499,2017-05-10,Jefferson Community Center,29
2500,2017-05-10,West Penn Community Center,65
2501,2017-05-10,Warrington Community Center,48
2502,2017-05-09,Paulson Community Center,34
2503,2017-05-09,Ormsby Community Center,64
2504,2017-05-09,Phillips Community Center,131
2505,2017-05-09,Ammon Community Center,148
2506,2017-05-09,Arlington Community Center,9
2507,2017-05-09,Brookline Community Center,67
2508,2017-05-09,Jefferson Community Center,39
2509,2017-05-09,Warrington Community Center,33
2510,2017-05-09,West Penn Community Center,100
2511,2017-05-08,Phillips Community Center,114
2512,2017-05-08,Ormsby Community Center,64
2513,2017-05-08,Paulson Community Center,40
2514,2017-05-08,Brookline Community Center,58
2515,2017-05-08,Arlington Community Center,20
2516,2017-05-08,Ammon Community Center,158
2517,2017-05-08,Jefferson Community Center,41
2518,2017-05-08,West Penn Community Center,77
2519,2017-05-08,Warrington Community Center,47
2520,2017-05-06,Ormsby Community Center,7
2521,2017-05-06,Phillips Community Center,53
2522,2017-05-06,Brookline Community Center,46
2523,2017-05-06,West Penn Community Center,37
2524,2017-05-05,Phillips Community Center,83
2525,2017-05-05,Ormsby Community Center,91
2526,2017-05-05,Paulson Community Center,29
2527,2017-05-05,Brookline Community Center,62
2528,2017-05-05,Ammon Community Center,124
2529,2017-05-05,Arlington Community Center,25
2530,2017-05-05,Jefferson Community Center,29
2531,2017-05-05,Magee Community Center,1
2532,2017-05-05,West Penn Community Center,80
2533,2017-05-05,Warrington Community Center,29
2534,2017-05-04,Paulson Community Center,29
2535,2017-05-04,Ormsby Community Center,56
2536,2017-05-04,Phillips Community Center,70
2537,2017-05-04,Arlington Community Center,4
2538,2017-05-04,Ammon Community Center,149
2539,2017-05-04,Brookline Community Center,45
2540,2017-05-04,Magee Community Center,2
2541,2017-05-04,Jefferson Community Center,13
2542,2017-05-04,Warrington Community Center,35
2543,2017-05-04,West Penn Community Center,172
2544,2017-05-03,Phillips Community Center,97
2545,2017-05-03,Ormsby Community Center,55
2546,2017-05-03,Paulson Community Center,33
2547,2017-05-03,Brookline Community Center,70
2548,2017-05-03,Ammon Community Center,159
2549,2017-05-03,Arlington Community Center,7
2550,2017-05-03,Jefferson Community Center,35
2551,2017-05-03,West Penn Community Center,99
2552,2017-05-03,Warrington Community Center,21
2553,2017-05-02,Paulson Community Center,39
2554,2017-05-02,Ormsby Community Center,74
2555,2017-05-02,Phillips Community Center,117
2556,2017-05-02,Arlington Community Center,7
2557,2017-05-02,Ammon Community Center,129
2558,2017-05-02,Brookline Community Center,33
2559,2017-05-02,Jefferson Community Center,23
2560,2017-05-02,Magee Community Center,3
2561,2017-05-02,Warrington Community Center,22
2562,2017-05-02,West Penn Community Center,170
2563,2017-05-01,Phillips Community Center,97
2564,2017-05-01,Ormsby Community Center,49
2565,2017-05-01,Paulson Community Center,31
2566,2017-05-01,Brookline Community Center,46
2567,2017-05-01,Ammon Community Center,49
2568,2017-05-01,Arlington Community Center,1
2569,2017-05-01,Magee Community Center,6
2570,2017-05-01,Jefferson Community Center,7
2571,2017-05-01,West Penn Community Center,49
2572,2017-05-01,Warrington Community Center,29
2573,2017-04-30,Ammon Community Center,31
2574,2017-04-29,Ormsby Community Center,14
2575,2017-04-29,Phillips Community Center,27
2576,2017-04-29,Brookline Community Center,26
2577,2017-04-29,West Penn Community Center,40
2578,2017-04-28,Phillips Community Center,70
2579,2017-04-28,Ormsby Community Center,63
2580,2017-04-28,Paulson Community Center,30
2581,2017-04-28,Brookline Community Center,51
2582,2017-04-28,Ammon Community Center,95
2583,2017-04-28,Arlington Community Center,9
2584,2017-04-28,Jefferson Community Center,33
2585,2017-04-28,West Penn Community Center,40
2586,2017-04-28,Warrington Community Center,5
2587,2017-04-27,Paulson Community Center,26
2588,2017-04-27,Ormsby Community Center,56
2589,2017-04-27,Phillips Community Center,84
2590,2017-04-27,Arlington Community Center,1
2591,2017-04-27,Ammon Community Center,114
2592,2017-04-27,Brookline Community Center,48
2593,2017-04-27,Jefferson Community Center,46
2594,2017-04-27,Magee Community Center,2
2595,2017-04-27,Warrington Community Center,16
2596,2017-04-27,West Penn Community Center,150
2597,2017-04-26,Phillips Community Center,136
2598,2017-04-26,Ormsby Community Center,57
2599,2017-04-26,Paulson Community Center,31
2600,2017-04-26,Brookline Community Center,53
2601,2017-04-26,Ammon Community Center,144
2602,2017-04-26,Arlington Community Center,9
2603,2017-04-26,Jefferson Community Center,32
2604,2017-04-26,West Penn Community Center,85
2605,2017-04-26,Warrington Community Center,24
2606,2017-04-25,Paulson Community Center,42
2607,2017-04-25,Ormsby Community Center,42
2608,2017-04-25,Phillips Community Center,126
2609,2017-04-25,Arlington Community Center,8
2610,2017-04-25,Ammon Community Center,67
2611,2017-04-25,Brookline Community Center,64
2612,2017-04-25,Jefferson Community Center,32
2613,2017-04-25,Warrington Community Center,20
2614,2017-04-25,West Penn Community Center,137
2615,2017-04-24,Phillips Community Center,60
2616,2017-04-24,Ormsby Community Center,55
2617,2017-04-24,Paulson Community Center,36
2618,2017-04-24,Brookline Community Center,83
2619,2017-04-24,Ammon Community Center,160
2620,2017-04-24,Arlington Community Center,10
2621,2017-04-24,Jefferson Community Center,20
2622,2017-04-24,Magee Community Center,1
2623,2017-04-24,West Penn Community Center,42
2624,2017-04-24,Warrington Community Center,36
2625,2017-04-22,Ormsby Community Center,6
2626,2017-04-22,Phillips Community Center,15
2627,2017-04-22,Brookline Community Center,28
2628,2017-04-22,West Penn Community Center,29
2629,2017-04-21,Phillips Community Center,83
2630,2017-04-21,Ormsby Community Center,86
2631,2017-04-21,Paulson Community Center,32
2632,2017-04-21,Brookline Community Center,51
2633,2017-04-21,Arlington Community Center,8
2634,2017-04-21,Ammon Community Center,153
2635,2017-04-21,Magee Community Center,1
2636,2017-04-21,Jefferson Community Center,17
2637,2017-04-21,West Penn Community Center,53
2638,2017-04-21,Warrington Community Center,30
2639,2017-04-20,Paulson Community Center,36
2640,2017-04-20,Ormsby Community Center,57
2641,2017-04-20,Phillips Community Center,58
2642,2017-04-20,Ammon Community Center,88
2643,2017-04-20,Arlington Community Center,1
2644,2017-04-20,Brookline Community Center,55
2645,2017-04-20,Jefferson Community Center,37
2646,2017-04-20,Warrington Community Center,28
2647,2017-04-20,West Penn Community Center,134
2648,2017-04-19,Phillips Community Center,99
2649,2017-04-19,Ormsby Community Center,61
2650,2017-04-19,Paulson Community Center,44
2651,2017-04-19,Brookline Community Center,85
2652,2017-04-19,Arlington Community Center,19
2653,2017-04-19,Ammon Community Center,171
2654,2017-04-19,Jefferson Community Center,39
2655,2017-04-19,Magee Community Center,6
2656,2017-04-19,West Penn Community Center,92
2657,2017-04-19,Warrington Community Center,40
2658,2017-04-18,Paulson Community Center,32
2659,2017-04-18,Ormsby Community Center,60
2660,2017-04-18,Phillips Community Center,129
2661,2017-04-18,Ammon Community Center,184
2662,2017-04-18,Brookline Community Center,75
2663,2017-04-18,Magee Community Center,4
2664,2017-04-18,Jefferson Community Center,19
2665,2017-04-18,Warrington Community Center,23
2666,2017-04-18,West Penn Community Center,93
2667,2017-04-17,Phillips Community Center,143
2668,2017-04-17,Ormsby Community Center,52
2669,2017-04-17,Paulson Community Center,37
2670,2017-04-17,Brookline Community Center,71
2671,2017-04-17,Ammon Community Center,150
2672,2017-04-17,Arlington Community Center,9
2673,2017-04-17,Jefferson Community Center,35
2674,2017-04-17,Magee Community Center,19
2675,2017-04-17,West Penn Community Center,75
2676,2017-04-17,Warrington Community Center,41
2677,2017-04-13,Paulson Community Center,30
2678,2017-04-13,Ormsby Community Center,31
2679,2017-04-13,Phillips Community Center,78
2680,2017-04-13,Arlington Community Center,7
2681,2017-04-13,Ammon Community Center,81
2682,2017-04-13,Brookline Community Center,87
2683,2017-04-13,Magee Community Center,1
2684,2017-04-13,Jefferson Community Center,25
2685,2017-04-13,Warrington Community Center,19
2686,2017-04-13,West Penn Community Center,138
2687,2017-04-12,Phillips Community Center,141
2688,2017-04-12,Ormsby Community Center,40
2689,2017-04-12,Paulson Community Center,30
2690,2017-04-12,Brookline Community Center,64
2691,2017-04-12,Ammon Community Center,49
2692,2017-04-12,Jefferson Community Center,19
2693,2017-04-12,Magee Community Center,1
2694,2017-04-12,West Penn Community Center,82
2695,2017-04-12,Warrington Community Center,16
2696,2017-04-11,Paulson Community Center,18
2697,2017-04-11,Ormsby Community Center,35
2698,2017-04-11,Phillips Community Center,146
2699,2017-04-11,Ammon Community Center,112
2700,2017-04-11,Arlington Community Center,3
2701,2017-04-11,Brookline Community Center,49
2702,2017-04-11,Mellon Tennis Center,2
2703,2017-04-11,Jefferson Community Center,34
2704,2017-04-11,Warrington Community Center,18
2705,2017-04-11,West Penn Community Center,119
2706,2017-04-10,Phillips Community Center,101
2707,2017-04-10,Ormsby Community Center,44
2708,2017-04-10,Paulson Community Center,18
2709,2017-04-10,Brookline Community Center,98
2710,2017-04-10,Arlington Community Center,5
2711,2017-04-10,Ammon Community Center,122
2712,2017-04-10,Jefferson Community Center,24
2713,2017-04-10,Magee Community Center,17
2714,2017-04-10,West Penn Community Center,87
2715,2017-04-10,Warrington Community Center,22
2716,2017-04-08,Phillips Community Center,23
2717,2017-04-08,Brookline Community Center,42
2718,2017-04-08,West Penn Community Center,43
2719,2017-04-07,Phillips Community Center,99
2720,2017-04-07,Paulson Community Center,27
2721,2017-04-07,Ormsby Community Center,50
2722,2017-04-07,Brookline Community Center,38
2723,2017-04-07,Ammon Community Center,167
2724,2017-04-07,Arlington Community Center,17
2725,2017-04-07,Magee Community Center,84
2726,2017-04-07,Jefferson Community Center,14
2727,2017-04-07,West Penn Community Center,57
2728,2017-04-07,Warrington Community Center,19
2729,2017-04-06,Ormsby Community Center,58
2730,2017-04-06,Paulson Community Center,43
2731,2017-04-06,Phillips Community Center,78
2732,2017-04-06,Arlington Community Center,16
2733,2017-04-06,Ammon Community Center,160
2734,2017-04-06,Brookline Community Center,57
2735,2017-04-06,Jefferson Community Center,52
2736,2017-04-06,Magee Community Center,46
2737,2017-04-06,Warrington Community Center,38
2738,2017-04-06,West Penn Community Center,140
2739,2017-04-05,Phillips Community Center,148
2740,2017-04-05,Paulson Community Center,41
2741,2017-04-05,Ormsby Community Center,32
2742,2017-04-05,Brookline Community Center,98
2743,2017-04-05,Ammon Community Center,145
2744,2017-04-05,Arlington Community Center,22
2745,2017-04-05,Magee Community Center,55
2746,2017-04-05,Jefferson Community Center,61
2747,2017-04-05,West Penn Community Center,83
2748,2017-04-05,Warrington Community Center,43
2749,2017-04-04,Ormsby Community Center,63
2750,2017-04-04,Paulson Community Center,36
2751,2017-04-04,Phillips Community Center,176
2752,2017-04-04,Arlington Community Center,24
2753,2017-04-04,Ammon Community Center,212
2754,2017-04-04,Brookline Community Center,64
2755,2017-04-04,Jefferson Community Center,29
2756,2017-04-04,Magee Community Center,31
2757,2017-04-04,Warrington Community Center,30
2758,2017-04-04,West Penn Community Center,115
2759,2017-04-03,Phillips Community Center,157
2760,2017-04-03,Paulson Community Center,52
2761,2017-04-03,Ormsby Community Center,64
2762,2017-04-03,Brookline Community Center,82
2763,2017-04-03,Ammon Community Center,152
2764,2017-04-03,Arlington Community Center,19
2765,2017-04-03,Magee Community Center,52
2766,2017-04-03,Jefferson Community Center,26
2767,2017-04-03,West Penn Community Center,69
2768,2017-04-03,Warrington Community Center,64
2769,2017-04-01,Ormsby Community Center,19
2770,2017-04-01,Phillips Community Center,34
2771,2017-04-01,Ammon Community Center,24
2772,2017-04-01,Brookline Community Center,78
2773,2017-04-01,Magee Community Center,18
2774,2017-04-01,West Penn Community Center,46
2775,2017-03-31,Phillips Community Center,151
2776,2017-03-31,Ormsby Community Center,68
2777,2017-03-31,Paulson Community Center,33
2778,2017-03-31,Brookline Community Center,72
2779,2017-03-31,Ammon Community Center,122
2780,2017-03-31,Arlington Community Center,16
2781,2017-03-31,Magee Community Center,77
2782,2017-03-31,Jefferson Community Center,39
2783,2017-03-31,West Penn Community Center,52
2784,2017-03-31,Warrington Community Center,38
2785,2017-03-30,Paulson Community Center,37
2786,2017-03-30,Ormsby Community Center,45
2787,2017-03-30,Phillips Community Center,109
2788,2017-03-30,Arlington Community Center,16
2789,2017-03-30,Ammon Community Center,117
2790,2017-03-30,Brookline Community Center,62
2791,2017-03-30,Jefferson Community Center,30
2792,2017-03-30,Magee Community Center,67
2793,2017-03-30,Warrington Community Center,27
2794,2017-03-30,West Penn Community Center,152
2795,2017-03-29,Phillips Community Center,162
2796,2017-03-29,Ormsby Community Center,47
2797,2017-03-29,Paulson Community Center,36
2798,2017-03-29,Brookline Community Center,105
2799,2017-03-29,Ammon Community Center,130
2800,2017-03-29,Arlington Community Center,22
2801,2017-03-29,Magee Community Center,72
2802,2017-03-29,Jefferson Community Center,36
2803,2017-03-29,West Penn Community Center,99
2804,2017-03-29,Warrington Community Center,47
2805,2017-03-28,Paulson Community Center,45
2806,2017-03-28,Ormsby Community Center,66
2807,2017-03-28,Phillips Community Center,125
2808,2017-03-28,Arlington Community Center,7
2809,2017-03-28,Ammon Community Center,173
2810,2017-03-28,Brookline Community Center,94
2811,2017-03-28,Jefferson Community Center,38
2812,2017-03-28,Magee Community Center,50
2813,2017-03-28,Warrington Community Center,28
2814,2017-03-28,West Penn Community Center,125
2815,2017-03-27,Phillips Community Center,238
2816,2017-03-27,Ormsby Community Center,57
2817,2017-03-27,Paulson Community Center,45
2818,2017-03-27,Brookline Community Center,82
2819,2017-03-27,Ammon Community Center,142
2820,2017-03-27,Arlington Community Center,23
2821,2017-03-27,Magee Community Center,52
2822,2017-03-27,Jefferson Community Center,6
2823,2017-03-27,West Penn Community Center,73
2824,2017-03-27,Warrington Community Center,50
2825,2017-03-25,Ormsby Community Center,13
2826,2017-03-25,Phillips Community Center,27
2827,2017-03-25,Brookline Community Center,17
2828,2017-03-25,Magee Community Center,42
2829,2017-03-25,West Penn Community Center,30
2830,2017-03-24,Phillips Community Center,80
2831,2017-03-24,Ormsby Community Center,79
2832,2017-03-24,Paulson Community Center,33
2833,2017-03-24,Brookline Community Center,47
2834,2017-03-24,Arlington Community Center,22
2835,2017-03-24,Ammon Community Center,29
2836,2017-03-24,Magee Community Center,62
2837,2017-03-24,Jefferson Community Center,47
2838,2017-03-24,West Penn Community Center,82
2839,2017-03-24,Warrington Community Center,35
2840,2017-03-23,Paulson Community Center,46
2841,2017-03-23,Ormsby Community Center,57
2842,2017-03-23,Phillips Community Center,126
2843,2017-03-23,Ammon Community Center,53
2844,2017-03-23,Arlington Community Center,13
2845,2017-03-23,Brookline Community Center,92
2846,2017-03-23,Jefferson Community Center,29
2847,2017-03-23,Magee Community Center,47
2848,2017-03-23,Warrington Community Center,69
2849,2017-03-23,West Penn Community Center,73
2850,2017-03-22,Phillips Community Center,160
2851,2017-03-22,Ormsby Community Center,65
2852,2017-03-22,Paulson Community Center,35
2853,2017-03-22,Brookline Community Center,109
2854,2017-03-22,Arlington Community Center,31
2855,2017-03-22,Ammon Community Center,156
2856,2017-03-22,Magee Community Center,62
2857,2017-03-22,Jefferson Community Center,63
2858,2017-03-22,West Penn Community Center,71
2859,2017-03-22,Warrington Community Center,43
2860,2017-03-21,Paulson Community Center,48
2861,2017-03-21,Ormsby Community Center,73
2862,2017-03-21,Phillips Community Center,172
2863,2017-03-21,Ammon Community Center,83
2864,2017-03-21,Arlington Community Center,6
2865,2017-03-21,Brookline Community Center,114
2866,2017-03-21,Jefferson Community Center,45
2867,2017-03-21,Magee Community Center,44
2868,2017-03-21,Warrington Community Center,37
2869,2017-03-21,West Penn Community Center,145
2870,2017-03-20,Phillips Community Center,192
2871,2017-03-20,Ormsby Community Center,57
2872,2017-03-20,Paulson Community Center,32
2873,2017-03-20,Brookline Community Center,105
2874,2017-03-20,Arlington Community Center,25
2875,2017-03-20,Ammon Community Center,67
2876,2017-03-20,Magee Community Center,70
2877,2017-03-20,Jefferson Community Center,44
2878,2017-03-20,West Penn Community Center,79
2879,2017-03-20,Warrington Community Center,64
2880,2017-03-18,Ormsby Community Center,20
2881,2017-03-18,Phillips Community Center,25
2882,2017-03-18,Brookline Community Center,63
2883,2017-03-18,Magee Community Center,31
2884,2017-03-18,West Penn Community Center,39
2885,2017-03-17,Phillips Community Center,119
2886,2017-03-17,Ormsby Community Center,73
2887,2017-03-17,Paulson Community Center,27
2888,2017-03-17,Brookline Community Center,60
2889,2017-03-17,Ammon Community Center,54
2890,2017-03-17,Arlington Community Center,7
2891,2017-03-17,Magee Community Center,55
2892,2017-03-17,Jefferson Community Center,40
2893,2017-03-17,West Penn Community Center,74
2894,2017-03-17,Warrington Community Center,29
2895,2017-03-16,Paulson Community Center,42
2896,2017-03-16,Ormsby Community Center,41
2897,2017-03-16,Phillips Community Center,128
2898,2017-03-16,Arlington Community Center,17
2899,2017-03-16,Ammon Community Center,48
2900,2017-03-16,Brookline Community Center,90
2901,2017-03-16,Jefferson Community Center,24
2902,2017-03-16,Magee Community Center,50
2903,2017-03-16,Warrington Community Center,53
2904,2017-03-16,West Penn Community Center,71
2905,2017-03-15,Phillips Community Center,135
2906,2017-03-15,Ormsby Community Center,51
3002,2017-03-03,Jefferson Community Center,32
2907,2017-03-15,Paulson Community Center,28
2908,2017-03-15,Brookline Community Center,83
2909,2017-03-15,Ammon Community Center,170
2910,2017-03-15,Arlington Community Center,9
2911,2017-03-15,Magee Community Center,62
2912,2017-03-15,Jefferson Community Center,27
2913,2017-03-15,West Penn Community Center,84
2914,2017-03-15,Warrington Community Center,87
2915,2017-03-14,Paulson Community Center,48
2916,2017-03-14,Ormsby Community Center,55
2917,2017-03-14,Phillips Community Center,122
2918,2017-03-14,Arlington Community Center,4
2919,2017-03-14,Ammon Community Center,75
2920,2017-03-14,Brookline Community Center,62
2921,2017-03-14,Jefferson Community Center,28
2922,2017-03-14,Magee Community Center,73
2923,2017-03-14,Warrington Community Center,24
2924,2017-03-14,West Penn Community Center,120
2925,2017-03-13,Phillips Community Center,178
2926,2017-03-13,Ormsby Community Center,53
2927,2017-03-13,Paulson Community Center,33
2928,2017-03-13,Brookline Community Center,111
2929,2017-03-13,Ammon Community Center,65
2930,2017-03-13,Arlington Community Center,16
2931,2017-03-13,Magee Community Center,91
2932,2017-03-13,Jefferson Community Center,31
2933,2017-03-13,West Penn Community Center,72
2934,2017-03-13,Warrington Community Center,45
2935,2017-03-11,Ormsby Community Center,8
2936,2017-03-11,Phillips Community Center,30
2937,2017-03-11,Brookline Community Center,44
2938,2017-03-11,Magee Community Center,26
2939,2017-03-11,West Penn Community Center,38
2940,2017-03-10,Phillips Community Center,139
2941,2017-03-10,Ormsby Community Center,51
2942,2017-03-10,Paulson Community Center,24
2943,2017-03-10,Brookline Community Center,73
2944,2017-03-10,Arlington Community Center,23
2945,2017-03-10,Ammon Community Center,139
2946,2017-03-10,Magee Community Center,78
2947,2017-03-10,Jefferson Community Center,37
2948,2017-03-10,West Penn Community Center,69
2949,2017-03-10,Warrington Community Center,22
2950,2017-03-09,Paulson Community Center,13
2951,2017-03-09,Ormsby Community Center,50
2952,2017-03-09,Phillips Community Center,183
2953,2017-03-09,Ammon Community Center,101
